bugid,summary,component
654062,mouse pointer not working,General
654439,Awesome screenshot: capture and annotate 2.2.1 extension not working even when enabled,Extension Compatibility
654919,Bookmarks not working with new update,Bookmarks & History
655964,.exe extension not working in browser,Extension Compatibility
657012,Privacy settings are not working properly,Bookmarks & History
657305,Memory leak 400 MB 1.5 GB when Firefox working more than 10 hours with lot of tabs,General
657422,"copy-paste not working in some places [Intentionally disabled by onpaste=""return false;""]",General
658515,Memory leak 400 MB-1.5 GB when Firefox working more than 10 hours with lot of tabs,General
661355,Using javascript to set an input value to empty string causes autocomplete to stop working,General
661516,Mouse scroll is not working in other tabs if PDF is open in one or more tabs,General
661725,Using -private flag not working correctly,Private Browsing
661887,the page is not working,General
661983,Sync still not working in version 3.6,Sync
662627,sync has stopped working on this computer,Sync
665042,Add-ons working in Firefox 4 still listed as incompatible,Extension Compatibility
668967,Fire fox 5 stoped working on me it keeps crashing,General
669197,Pref services.sync.autoconnect not working anymore,Sync
671005,URL Autocomplete not working properly,Address Bar
671235,Anchors in XHTML are not working in FF5,General
671262,Response.Redirect or ASP.net Control CallBackRedirect is not working in Firefox 5.Works on all other browser,General
673081,AltGr not working for Flash input,General
673654,svg view Element or viewBox attribute not working?,General
675551,If middlemouse.paste = true then middle-clicking some links sometimes stops working,Preferences
675881,search not working correct on pages,Search
676788,Firefox 5.0 Auto update not working,General
678665,Sync not working - Passwords not syncing.,Sync
679530,javascript alert not working from address bar,General
679635,After upgrading to Fx 6 the Add-Ons Manager stopped working,Extension Compatibility
680021,Applet on Firefox 3.6.19 is not working with jre 1.6.0_10.,General
680501,scroll wheel stops working on web pages when FF opens pdf,General
680628,Dropdown menus in UI stop working,Menus
680768,F5(Reload) function not working sometimes,Keyboard Navigation
681383,Nightly. Home End PageUp PageDown stop working in this page.,General
684184,PageUp and PageDown keys not working properly in a select control,Keyboard Navigation
684428,"yahoo tool bar quits working in newer versions of firefox, I use an older version to keep it working",Extension Compatibility
684636,"""Restore Previous Session"" not working anymore",Session Restore
684684,XSLT processor isn't working properly in XUL  for certain type,General
685158,Bookmark Drag & Drop stops working randomly,Bookmarks & History
686166,Firefox stops working when resizing on a page that has a resizehandler,General
686644,"Any video on the site ""BangBros"" isnt working (flash player 11.0.1.98 crashes)",General
686765,update 6.02 is not working on my mac,General
687252,Drop Down Menus Not Working Properly,General
687321,login page not working,General
687795,submit button is not working,General
688931,"add on not working correctly, the featured add on is not available in firfox",Page Info Window
689880,Synchtube.com chat stops working every few minutes,General
690218,[QAC generated] Tabs Groups stopped working,General
690228,Facebook Chat not working,General
690624,Sync stops working: server incorrectly configured,Sync
691188,Firefox does not respond while it is working in task manager and loads pages,Extension Compatibility
691346,sync not working for many weeks,Sync
691751,Password Manager not working.,General
692034,Down arrow not working correctly with the location bar,Address Bar
692061,CSS SVG clip-path not working on Main Apple iPhone page,General
692156,keyboard navigation in the urlbar isn't working correctly,Address Bar
692157,Sync has stopped working,General
693017,sync not working--I don't use twitter,Sync
693119,never remember history in tools.....options...privacy... not working,General
694654,gmail chat functionality is not always working with mozilla firefox version 7.0.1,General
694726,"Bookmark shortcut not working, cannot delete bookmarks",Bookmarks & History
695723,Browse button is not working in firefox 7.0 XPSP3,General
696601,keyword.enabled not working since FF 7.0,Address Bar
698254,every time i update to mozilla 7.0.1 my internet stops working (on all browsers) and i have to do a total system restore,General
698336,Sync logging not working,Sync
698733,jquery dynamic height for a div based on previous div height is not working properly in Firefox 8 but working Firefox 7,General
700812,"Firefox 11 Print scaling not working from page 2 on a Mac (same as Bug 684622 but was never resolved in 6, 7, 8, 9 or 10)",General
700945,search toolbar not working,Toolbars and Customization
700980,Snippet on the about:home page seems to causing problems with the Restore Previous Session button not working,Session Restore
701991,(Mac) Cmd+Enter has stopped working to complete web addresses with sub domains (eg. store.apple.com),Address Bar
702207,text-overflow:ellipsis not working if inside (-moz-)box,General
702637,Location bar input not working first time in new tab,Extension Compatibility
704502,keywords not working in firefox 8.0,Bookmarks & History
704808,Crash Report Form Not Working Properly,Preferences
705232,"Putting something ""me.blogspot"" in location bar and press <CTRL + ENTER> stop working since version 6.0",Address Bar
706422,app not working,General
706423,app working slow,General
706852,Session restore stopped working,Session Restore
707153,Session restore not always working,Session Restore
709495,Myspace not working correctly in Firefox 8,General
709517,"Firefox 11.0a1 stopped working after yesterdays (December 09, 2011) update.",General
709661,right start website bookmarks are not working,Bookmarks & History
712256,background-size: cover not working,General
712303,"CSS property ""background-position-x"" no longer working in Firefox 9",General
712953,Places History Expiration not working,Address Bar
713437,tab groups not working,General
713657,Clear recent history not working since upgrade to 9.0.1,Untriaged
714270,Session Restore is not working,General
714427,firefox update is not working in ubuntu 11.10,Untriaged
715104,application not working while clicking back button,Untriaged
715385,keyboard shortcut (ctrl+D) to bookmark a page not working,Untriaged
715510,not working properly,Untriaged
716290,bookmarks context menu has items grayed out or not working,Untriaged
716571,Weblogic 10.3.5.0 shutdown drop down menu not working in FF,Untriaged
716742,"The option ""Don't load tabs until selected"" isn't working after this last update.",Untriaged
716958,Wordpress.com drag and drop widgets setting and shortlink button not working in Firefox,Untriaged
717496,TOSHIBA Live camera stops working in few seconds,General
717570,A Multiple frame link method has stopped working in the latest release,Untriaged
719364,not working,General
719371,"Selenium's webdriver stops working in Nightly builds starting from 2012-01-12 because it uses XPCOM proxies, which were removed.",Extension Compatibility
719556,alice.it.js not working any longer.,Untriaged
719638,v 9.0.1 keeps freezing (Has stopped working),Untriaged
720222,Ctrl+F as well as find option is not working in mozilla firefox 9.0.1 version,Untriaged
720854,text-decoration:underline not working in SVG text,Untriaged
721919,Start Private Browsing link not working,Untriaged
722210,"Flash player on ``Cramster.com"" not working in Nightly",Untriaged
723022,search and location bar not working when focus is switched on startup,Extension Compatibility
723834,Bookmark Toolbar not working after update; Mac OS X 10.7,Bookmarks & History
723859,Opening links from applications stop working after some usage,Untriaged
724232,Adress bar not working since update to FF10,Address Bar
725745,Responsive layouts stop working at a browser width of 575 pixels,Untriaged
727717,Flash particle not working,Untriaged
728711,Shoutbox on http://www.babelzilla.org not working with last nightly,General
728938,Shortcuts not working,Untriaged
728941,One user can't run Firefox simultaneously on two computers working from a shared file store,Untriaged
729072,"In my firefox keyboard shortkeys are not working, i.e., when i open a new tab write the url & press enter its not working, also control+enter is also not working ... Plz tell me how to fix this asap...",Untriaged
729084,GUI menus sometimes stop working,Untriaged
730615,bp-43bb3a4d-9044-4a45-8805-5d4be2120225 Crashed again. Trying to close a few tabs but it's not working.,General
730680,Firefox javascript not working with Last.fm,Untriaged
730754,firefox is not working,Untriaged
730755,firefox is not working,Untriaged
730756,firefox is working,Untriaged
730808,jquery.animate in 10.0.2 stopped working,Untriaged
731127,conditional forward button not working,Theme
733565,firefox -remote 'openURL(..)' stopped working,Untriaged
735034,javascript not working 10.0.2,Untriaged
736153,Pool Live Tour is not Working,General
736202,I installed the latest version for Mac yesterday and my 'Foxtab' add-on stopped working,Extension Compatibility
736794,Drag and Drop not working until url clicked on a couple times,Untriaged
737402,The user name is not working,Untriaged
737635,HP Protect tools not working with FF10,Extension Compatibility
738531,"about:startup not working, get an ""The address isn't valid"" error, among others",Untriaged
741107,Alt+Click to download linked images stopped working,General
741235,facebook is funtions not working with firefox,Untriaged
741253,"Cannot upgrade Flash Player to latest version, so now I have no Flash Player working at all.",Untriaged
742090,Left mouse click randomly stops working when tilt-wheel scrolling was used (Logitech),Untriaged
742388,Feedback button not working,Untriaged
742817,Scrolling stops working on websites with embedded video,Untriaged
742840,login not working,Untriaged
743572,Back/forward button merging stops working if you customize their location,Address Bar
744721,pdf downloads not working,Untriaged
745110,background image repeat-y not working in a extremely long <div> (~30000 px),General
747676,Selecting Autocomplete Entries for Text Input from Dropdown List Using Enter Not Working,Untriaged
749546,[Firefox 12] DefaultPref for browser.startup.homepage in autoconfig not working,Preferences
749610,Tab groups not working,Untriaged
750998,transform:skew peroperty not working,Untriaged
751103,Bookmarks randomly stop working,Bookmarks & History
752107,Tab button not working with latest Nightly,Keyboard Navigation
752307,Italian Firefox 12 Plugin Check page not working (404),Untriaged
752955,The mozilla is working very slow and gets crash many times,Untriaged
753221,selecting tabs and opening a new tab or window not working from windows 7 taskbar,General
753286,Drop down menus not working,Untriaged
757782,Selenium Grid is not working in Mozilla 10.0 Version,Untriaged
758002,FireFox 12 Cache is not working,Untriaged
758116,url highlighting not working,Untriaged
759086,adding custom --with-user-appdir not working to build FF12 from Source,Untriaged
760247,credit card not working,Untriaged
761001,not working,Untriaged
761084,JMenuBar not working in JApplet,Untriaged
762060,Page Up/Down not working in tables in contenteditable areas when in an iframe,Untriaged
762369,Firefox 13 Downloads not working at all,Untriaged
763455,Startup check for default browser not working in Windows 8,General
763505,VMware Cloud Console plug in (VMRC) stopped working with Firefox 13 release,Untriaged
763945,text highlighting on hover not working for getpython3.com,Untriaged
764154,Firefox Menu Items Stop Working,Menus
764250,Videos not working in Nightly but do in other browsers.,Untriaged
766022,box-shadow and other elements not working,Untriaged
766396,update not working,Untriaged
766482,PgDn and PgUp stop working when Flash 11.3 component is on page,Untriaged
766874,Jump Lists are no longer working after Update,Shell Integration
767770,Ok button functionality is not working,Bookmarks & History
767825,build in add-ons search in Add-On Manager not working in FF13.01 on Windows,Untriaged
768773,a:visited {border:width style color} does not seem to be working,Untriaged
768806,Copperplate Gothic font not working in some(older) versions of Firefox,Untriaged
769909,youtube video stops working after certain time,Untriaged
772008,functionalites are not working,Untriaged
773584,search option not working in Aurora 15.0a2 (2012-07-12),Search
775637,Remapped Mac hotkeys not working in FF,Untriaged
775710," -moz-transform : skew(""degree"") not working in 14.0.1 and verified it is working in 13.0.1",Untriaged
775757,speedidial add on not working with Nightly,Untriaged
775842,Shockwave Player 11 not working in Firefox 14,Untriaged
775910,Awesomebar stops working and ff has 100% cpu usage,Sync
776272,Wikimedia keyboard shortcuts not working,Keyboard Navigation
776280,Restartless add-ons stop working after restart,Untriaged
776843,"""Mouse over image to zoom"" on eBay auction page stopped working in FF 14 (mac OS 10.6.8). Still works in Chrome & Safari.",Untriaged
777387,Find in Page not working in some PDFs,PDF Viewer
778278,Sothink Web Video Downloader for Firefox6.8 is not working Firefox 15beta,Untriaged
778507,Firefox not working properly with flash components,Untriaged
778649,login button not working,Untriaged
778650,log in button not working,Untriaged
778655,link not working,Untriaged
778657,log in id not working,Untriaged
778658,link not working,Untriaged
778660,drop down menu not working,Untriaged
778661,send button not working in compose page in email,Untriaged
778662,drop down menu not working,Menus
778663,send button not working in compose page in email,Untriaged
778665,log in id not working,Untriaged
779452,login page is not working correctly,Untriaged
780067,submit button is not working,Untriaged
780802,Login box not working,Untriaged
781434,"the site is not working. When I click on api javadoc reference, it is not redirected properly. I guess some problem is there with this site",Untriaged
781449,Google Docs Viewer is not working in embedded mode in Nightly 17.0a1. It was working fine in standard Firefox 14.0,General
781499,Get dual mode content scrollbars working for metrofx,General
782169,"drop down menu in MSI web is broken,working on explorer,googlechrome",Untriaged
782699,Command + Backspace not working,Keyboard Navigation
783946,Strange chars at begging of javascript file when served out of php working fine when served out of IIS aspx page,Untriaged
783952,PHP Page with same Javascript and AJAX returned and passed data not working for PHP but working for ASPX page in firefox,Untriaged
784119,HTML5 download attribute not working consistently,Untriaged
784693,"page up & down not working on zdnet pages, also not when clicking in the scroll bar",Untriaged
785139,"VisualLightBox Slideshow became corrupted after a year working fine- In Firefox for Mac version 13,14,15. The previous images are not fully removed as Slideshow proceeds.",Untriaged
786209,double/triple-click behaviour not working as expected (Linux),Address Bar
788990,reset password functionality not working,Untriaged
788997,reset password functionality not working,Untriaged
789455,Flash audio stream not working,Untriaged
789676,Debugger not working,Untriaged
789680,Aurora scroll setting not working,Untriaged
789938,'close tab' button is not working on Tab,Tabbed Browser
790155,navigation buttons not properly working,Untriaged
790992,Apple.com Slideshows not working,Untriaged
791401,javascript:openWin* links not working in Win 7 x64 Nightly builds since 2012-09-09,Untriaged
791570,Session Restore is not available \ not working properly,General
791700,Popups stop working after a while; have to restart Firefox,Untriaged
792122,15.0.1 - Editor Enanched WYSIWYG Editing not working on vbullettin forum...,Untriaged
793094,'window.open' not working in ChromeWindow,Untriaged
793095,'window.sizeToContent' is not working in ChromeWindow,Untriaged
795684,IE Maze Solver and Arewefastyet.com not working anymore,Untriaged
796992,requestPointerLock not working to specification,Untriaged
797721,firefox not working properly not,Untriaged
797882,This is not working on win 7,Untriaged
798070,StackOverflow.com stack exchange notification button not working properly.,General
798210,scroll bar in windows 8 not shown/working,Untriaged
798393,Copy/Paste Keyboard shortcuts in Aurora 17.0a2 not working when F1 extension installed,Extension Compatibility
798725,navigational is not working,Untriaged
798739,mouse port not working,Untriaged
798741,keybord keys not working,Untriaged
798743,auto of monitor not working,Untriaged
799894,"""Right click on link -> Open in new tab"" not working",Menus
799951,"The ""Warn when closing multiply tabs"" isn't working",Untriaged
800032,Twitter website F5 key not working,Keyboard Navigation
800101,Open link in new tab/window not working,Untriaged
800929,Double-clicking tab overflow navigation arrows stops working after some period of time (and begins scrolling only one tab at a time),Untriaged
801430,Add-ons button stoped working after update to Firefox 17.0b1,Menus
801439,Facebook not working properly in Firefox 16.0.1,General
802472,Awesome Screenshot & Screenshot Pimp NOT Working,Extension Compatibility
802480,Adblocker no longer working on Firefox 16-16.0.1,Untriaged
803821,phpMyAdmin status monitor graphs not working,Untriaged
804157,Drop down menus stopped working in external monitor after installing 16.0,Untriaged
805407,Firefox 18 not working for Mandriva 2010,Untriaged
806189,"drag new tab out, new window not working",Tabbed Browser
808138,"Skype click-to-call extension not working with FF17, works with all prev versions.",Extension Compatibility
808559,Yahoo email and Firefox 16.0.2 no longer working,Untriaged
809127,add on bar is not working,Untriaged
809129,add on bar is not working,Toolbars and Customization
809330,search button fun not working with blank data,Search
809735,Restore after crash not working if privacy details have been deleted,Session Restore
810584,"parent.parentNode.ownerDocument.defaultView.getComputedStyle(parent.parentNode, null); stopped working",Extension Compatibility
811765,Asp.net MVC 3 ActionLink not working in firefox,Untriaged
812326,"Unloaded pages no longer working properly (private browsing, cache)",Untriaged
812815,location bar not working when typing in a web address,Untriaged
813134,clearInterval Stops Working Mid Script,Untriaged
813431,Copy - paste not working properly on Kijiji,Untriaged
813763,Menu items like Addons Manager not working in FF 17 due to Tab Mix Plus,Extension Compatibility
813979,Keyboard not working with Firefox 17 on Windows XP SP3,Untriaged
814230,Warn on close with multiple tabs open not working in FF 17.0,Untriaged
814609,In fire fox version 17.0 Share Point 2010 out of box functionality task page is not working,Untriaged
814939,Sign in not working,Untriaged
815333,bug489729 addon causing tab reorganization to stop working,Extension Compatibility
815994,"since 17 version our CKeditor within oxid ecommerce system is not working. Can't tell you right now the version of taht editor, but it's quite old.",Untriaged
816794,search option not working,Untriaged
816798,search option not working,Untriaged
816855,Master Password Not Working,Untriaged
817244,Save/Open dialog stops working after its originating tab is closed,Untriaged
819190,Animated persona stops working after browser restart (or after previewing another persona),Theme
820376,CSS transitions not working for sibling selectors,Untriaged
820515,'Set as Desktop Background...' not working,Shell Integration
821936,not working,Untriaged
822105,Firefox crash reporter not working at all,Untriaged
823722,"""Flash Video Downloader - Youtube Downloader"" stopped working with update",Extension Compatibility
824521,linux regression: middle click not working on file dialog scrollbar,Untriaged
824679,its not working,PDF Viewer
825005,No working crashdump after browsercrash,Untriaged
825363,login not working,Untriaged
825531,"left screen slider is stuck on the screen, but scrolling is stil working",Untriaged
825597,my application is not working properly,Untriaged
827131,Open in new tab/window not working,Untriaged
828952,"private browsing not working in Firefox 18.0, Linux version",Private Browsing
829118,MochaUI stopped working under FF 18,Untriaged
829903,Search on home page is not working,Search
830012,Firefox for Mac IFrame hyperlinks not working whilst fine on PC version & Safari,Untriaged
830050,Mouse stopped working in Word for Friends in Facebook,Untriaged
830321,Click events are not working properly in Firefox 18,Untriaged
832245,PDF Search Highlight not working - rotation,PDF Viewer
833201,the browser automatically get closed while working,Untriaged
833218,edit button not working,Untriaged
834641,"Webcam working on port 80 -> Router forwarding from port 8082 -> Video is not displayed in Internet, at home it works -> IE works from Internet, too",Untriaged
835836,Evernote Clearly stops working with FF 18.0.1,Untriaged
836846,YouTube Login Not Working,Untriaged
838562,Mozilla Plugin Check page is not working after update Firefox from version 18.0.1 to 18.0.2,Untriaged
840897,mail not working,Untriaged
841201,flash player stopped working fedora,Untriaged
841292,search button functionality is not working,Bookmarks & History
841947,Sync not working: bookmarks don't get synced,Sync
843007,javascript not working on dx.com,Untriaged
843510,Text selection in the build-in PDF viewer is not working as expected,PDF Viewer
843513,Back button disabled and private browsing stopped working after upgrade to firefox-19,Untriaged
844423,Comml website not working; company Cust Supp says FF rls# may be cause,Untriaged
844441,security.warn_submit_insecure no longer working!?,Untriaged
844568,Exceptions - Remember passwords for sites (site input not working),Untriaged
844943,PDF file with Form isn't working,PDF Viewer
845219,HTTPS not working properly with Outlook.,Security
845327,"login with facebook popup is not showing and even there is no error in console, by the way the popup is working fine in other browsers like chrome and IE",Untriaged
845448,The Downloads Clear List Button Not Working In Firefox 19.0,Untriaged
845450,The Downloads Clear List Button Not Working In Firefox 19.0,Private Browsing
847979,username textbox is not working,Untriaged
850106,"""do this automatically for files like this"" from now on not working for sabnzbd+",Untriaged
851967,Easy YouTube Video Downloader addon stopped working after dummy Private Browsing service removed,Extension Compatibility
852317,drag tabs stopped working,Untriaged
852770,search stops working randomly,Search
853688,"""Clear all"" in Downloads Box - Not Working",Untriaged
858363,Australis Customize 'Restore Defaults' not working,Toolbars and Customization
858386,"Stopped working function ""addClass"" in Firefox 20.0",Untriaged
858555,Firefox 20 Single Sign On is not working,Untriaged
859283,firefox 20 address bar web site from bookmarks not working,Bookmarks & History
860439,No Restart Add-ons not working in 23.0 nightly,Untriaged
860542,Awesome bar search navigation (up & down arrow) is not working properly,Untriaged
861417,Audio and then video stop (even in fully buffered videos) - both working in IE,Untriaged
861527,persona's stopped working altogether,Untriaged
861739,Menu options are not working properly,Menus
863255,web link is not working,Menus
863370,Shortcut keys not working in Firefox 20,Untriaged
863976,Search button fun not working with the,Security
864134,"some sites lock up after opening,,,also keep getting firefox has stopped working when closing the browser",General
865989,plugins not working properly,Untriaged
867232,Sync is not working since a few days,Sync
867510,Copy & paste quits working after disabling hardware acceleration,General
867651,Hide BookmarksBar addon stopped working on last Nightly updates,Extension Compatibility
869089,javascript date no working for 8 november 2012 and 9 november 2012,Untriaged
872313,Mouse wheel stopped working at Google+ page,Untriaged
872535,The Customize command stops working the second time on UX,Toolbars and Customization
872891,addons not working,Untriaged
872892,addons not working,Untriaged
872895,add ons not working,Untriaged
872896,addons not working,Untriaged
872908,"My tabs were disappearing and the tab scroll was not working. I restarted Firefox & seems OK now, but just wanted to let you know.",Untriaged
873990,Roboform Password Manager not working in 22.1 beta,Extension Compatibility
874839,You tube videos are not working only in mozilla firefox,Untriaged
875278,New Google Maps Search is not working,General
876136,plugins.click_to_play is not working,Preferences
876262,"I'm working in Brazil and the banks here use a Security software, but Firefox blocks the installation.",Untriaged
876708,search on firefox home page(about:home) is not working in linux mint,Search
876709,search on firefox home page(about:home) is not working in linux mint,Untriaged
878854,Client search functionlity is not working,Untriaged
879271,addons are not working properly,Untriaged
880442,Context Menus not working anymore related to firebug,Menus
881007,"NoScript ""temporary allow top-level sites"" not working anymore",Untriaged
885656,"google analytics event tracking works fine within firefox 17.x, , but NOT working within firefox 20.x, 21.x.",Untriaged
885698,onmouseover not working when using <button type = 'submit' .....>,Untriaged
886938,Firefox 22 - PlainOldFavorites 1.2 not working properly,Untriaged
887074,RoboForm not working in Firefox 22.0,Untriaged
888186,Ctrl + 0 not working on the page,General
890668,"Session Manager add-on not working (only bringing up one window, not all tabs loading their address)",Extension Compatibility
890777,"address bar, back button, links not working properly, not reading cookies",Untriaged
892667,Avast! EasyPass stopped working after update to version 22.0,Untriaged
892909,in login page the login button is not working,Untriaged
895011,user name not working,Untriaged
896305,"Regression: Ctrl-a, ctrl-e, and ctrl-k keyboard shortcuts stopped working on OS X",Keyboard Navigation
896375,working not properly,Untriaged
897788,Keyword.url not working correctly,Address Bar
899602,"Mouse's back, forward and zoom buttons stop working",Untriaged
900087,Password reset is not working,Untriaged
902666,browser.tabs.autohide not working,Untriaged
902904,about:home search is not working intermittently,Search
905133,"Only the default dictionary is working, all other languages are not functioning anymore.",Untriaged
906699,GMail: Compose Email - Command-left and Command-right shortcut not working,Untriaged
907039,tumblr registration not working,Untriaged
907676,# Character is not accepted in version 14.0 while its working in  higher version.,Untriaged
908086,flexbox not working,Untriaged
910535,Bangla font is not working,Untriaged
910733,Javascript audio player not working,Untriaged
910749,[Intermittent] Downloads panel not working at all,Downloads Panel
911049,begali font not working,Untriaged
912452,Ctrl +F function not working correctly,Untriaged
915140,applying skew in css prevents flash from working,Untriaged
915160,windows 8.1 Firefox 32-bit builds not working,Untriaged
916744,switch to tab stopped working,General
918247,'contact us' link is not working,Untriaged
919146,"Bookmyshow.in page ,on click the payment gateway  button is not working",Untriaged
919255,why is my runtime script plug in not working,Untriaged
920538,"""Always ask me where to save file"" downloads option not working",Preferences
921080,Clicking on item in download panel not working on Windows 8.1 RTM,Downloads Panel
923178,Pinned shortcuts in Windows 7 not working.,Shell Integration
924562,Facebook button on HTML page not working,Untriaged
929295,YouTube Not Working on Firefox 24 Installation,General
930891,firefox is not working in ubuntu,Untriaged
931705,addons using npapi plugin is not working in background page because of click to play feature,Extension Compatibility
932142,[meta][e10s] get browser-chrome tests working with e10s,General
933089,Norton 360 Toolbar is not working with Firefox 25.0,Untriaged
933187,Find Function (Ctr+F) not working in the View-Source screen,Untriaged
934067,Username & password field not displayed for few sites but working fine on other browser,Untriaged
937213,[e10s] Some keys stop working when the keyboard layout is US international,General
938309,Ctrl + TAB on pinned tabs not working,Untriaged
940179,browser 25.0.1 pop-up blocker and the sort not working browser page is inaudated with google ads,Untriaged
943024,User Interface stops working when using the next button,Sync
944394,"The ""warn me when closing multiple tabs"" option stops working when ""Show my windows and tabs from last time"" is set as the startup behavior",General
945034,Cut/Copy/Paste-buttons in menu panel not working?,Untriaged
945233,Bookmark search not working in Ubuntu 12.04,Bookmarks & History
946785,Some pictures do not show and slow download pictures and not working fully,Untriaged
947582,Keyboard not working in Firefox,Untriaged
950442,Download manager window not working in Firefox 26.0,Untriaged
951360,"plugincheck not working in Aurora 28, ONLY Shockwave Flash 'reported on', others are missed",General
952229,Downloads shortcut[CTRL+J] is not working in Firefox 27.0 b2 bn_BD,Untriaged
952367,"Addon ""Tree Style Tabs"" stops working on Firefox 28.0a2 (2013-12-18)",Untriaged
955846,Login button not working,General
957240,ESC key not working on tab groups view window for Firefox 25 and 26,Untriaged
957373,commandline help shows non-working case,Untriaged
958920,Searchbox not working on Enter or when Clicking Search Icon,Extension Compatibility
960234,Aurora is working perfectly... STOP messing with it!,Untriaged
961461,not working b,Untriaged
963514,Image sliders not working on firefox 26,Untriaged
964136,facebook not working properly on mozilla,Untriaged
964737,Synaptics touchpad scrolling is not working in many sites,Untriaged
965076,"Bookmarklet with an apostrophe (single quote) / JavaScript bookmark containing ""'"" or ""%27"" not working/not running",Bookmarks & History
969262,Tabs below address bar isn't working (browser.tabs.onTop = false),Untriaged
971870,Right click or select all not working on long url,Untriaged
971984,firefox stop working,Untriaged
973084,"Scrolling stops working (OS X 10.9, FF 27.0.1)",Untriaged
973218,Scrolling using Mac scrolling gestures has stopped working,General
973251,Sync not working since upgrading from old method,Sync
974377,My Firefox was updated recently and now a File Upload Utility I have programmed into my web programs is not working.,Untriaged
977078,Firebug stops working in Nightly30a1,Extension Compatibility
979567,"Indexeddb manager regression in chrome url, initWindowless not working",Untriaged
980955,Disabling auto update not working,Untriaged
982944,Scriptish GM_* function stops working,Extension Compatibility
983630,[Australis] toolbar items' tooltips/hover effect not working after reducing window size (resizing) with overflow button kicking in (until menu item clicked),Toolbars and Customization
983929,sync account username not working due to ff sync upgrade,Sync
988247,Window.opener not working while using signed applets,Untriaged
990076,search not working,Untriaged
991096,Undo close tab not working,Untriaged
991144,Security exceptions for most self-signed certs stopped working,Untriaged
991469,Navigation command End is not working in current page of firefox 29,Untriaged
991472,Navigation Home is not working properly in firefox 29,General
991479,"Navigation command ""Ctrl+Home"" and Ctrl+End"" is not working in Gmail",Keyboard Navigation
991601,html links to local files not working,Untriaged
992523,Search bar is not working,Search
997142,[Linux] The highlight animation from first run tour is not working on Ubuntu.,Theme
998325,Bookmark this page not working,Bookmarks & History
999932,attachments are not working,Untriaged
1001573,validation not working,Untriaged
1001827,Twitter is not working correctly in Firefox browser,Untriaged
1003807,"Context Menus, Panels and the AwesomeBar dropdown stop working until restart intermittently",Untriaged
1004381,Aurora: Lightbeam not working when in Firefox29 works fine,Untriaged
1004538,not working,Untriaged
1004913,gmail multiple account feature not working properly in new firefox29,Untriaged
1005496,gmail login for Mozilla is not working,Untriaged
1005499,Restoring previous session stopped working since 29.0,Untriaged
1006272,Refresh is not working in gmail account.,Untriaged
1006914,"Left mouse button stopped working on webpages (links, within the page). Right + Open new tab works. Own menus work. Current version, Aurora 31.0a2.",Untriaged
1006959,The search button on the Firefox home page is not working.,Untriaged
1007497,slide show icons are not working,Untriaged
1009077,c|Net photo gallery not working,General
1009747,Flash 13 is not working.,Untriaged
1010131,"Confluence ""Edit in office"" feature not working since the last update",Untriaged
1012428,Google Docs isn't working after last Nightly update,Untriaged
1014227,"e10s with ""NoSquint"" addon breaks the zoom engine (CTRL+0 not working)",Extension Compatibility
1014389,auto populate in google search is not working (in New Tab),New Tab Page
1014612,Firebug console logging isn't working after update to version 29,Untriaged
1016253,my website is not working,Untriaged
1017032,Download manager quit working - Linux,Untriaged
1018195,Horizontal scroll bar not working for single line,Untriaged
1018781,Google IME Sinhala Unicode not Working on Facebook Comment Box,Untriaged
1020933,After restoring the tabs is not working refresh the page,Untriaged
1021546,"Firefox was working fine yesterday, but i start up today and do my upddates in ubuntu 10.04, and now firefox freezes , hangs, and greys out when i try open a bookmark or a new tab.",Untriaged
1021584,Nightly 32.0a1 (2014-06-05) not working with Yahoo Mail,Untriaged
1024340,VMWare VMRC plugin no longer working after latest update,Untriaged
1024594,adfs credentials not working since update to ff 30.0,Untriaged
1024876,Close button Not working.,Untriaged
1026028,logout function is not working,Untriaged
1026843,Capital One login website not working,Untriaged
1027222,Plugin Stopped Working Popup appears when calling webdriver.quit() method using Firefox V30,Extension Compatibility
1027896,pdf.js not working with Electrolysis windows,Untriaged
1028210,Make sure pdfjs telemetry is working from the child,PDF Viewer
1028648,Update to Firefox 30 has stopped working with Trend Micro Direct Pass,Extension Compatibility
1029444,"Keystrokes for tabs (next,previous, close) not working when a tab has a video active",Tabbed Browser
1034023,Favicon update on IRCCloud not working in Nightly,General
1037186,[E10S] The 'AddThis' Addon is not working/compatible,Extension Compatibility
1037193,"[E10S] ""Quick Translator"" add-on is no longer Working/Compatible",Extension Compatibility
1040909,[e10s] Spell Check not working in e10s,Menus
1041135,Sync not working if cookies are set to Keep until: Ask me every time,Untriaged
1042915,Self-signed *CA* stopped working in FF 31,Security
1043107,Scrolling Stops Working with Mouse/Built-in Trackpad (Arrow Keys OK),Untriaged
1043301,"""focus-follows-mouse"" add-on not working with e10s window",Extension Compatibility
1045761,I am getting 404 not found in firefox 31 which is working in 30,Untriaged
1046466,Workday websites no longer working with release I received today!!!,Untriaged
1047466,browser.tabclosebuttons not working,Untriaged
1047905,"Firefox does not close after clicking X, can only end from processes, add ons  and about: tabs stop working after a couple of hours of being open",Untriaged
1054657,Pop-up blocker stops working after some time on OS X Mavericks,Untriaged
1055062,Copy/paste not working consistently in Google Docs,Untriaged
1060968,Shortcut for inspector not working,Untriaged
1062892,[e10s] Simple Add-on SDK addon with page-mod not working with e10s,Extension Compatibility
